name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp31,4.87929,8.97196e-16,4.87929,4.87929,4.87929,4.87929,44.0401,51.1058,5.00152,244.446,-7.06577,95.1459,0.122236
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp32,4.8202,0,4.8202,4.8202,4.8202,4.8202,43.5398,50.7644,4.90885,251.971,-7.22453,94.3042,0.0886501
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp33,4.89409,8.97196e-16,4.89409,4.89409,4.89409,4.89409,44.1599,51.2436,5.01664,244.658,-7.08373,95.4035,0.122552
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp34,4.82955,0,4.82955,4.82955,4.82955,4.82955,43.6257,50.8712,4.91774,252.48,-7.24549,94.497,0.0881948
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp35,4.91207,0,4.91207,4.91207,4.91207,4.91207,44.2983,51.3913,5.03456,244.88,-7.09302,95.6896,0.122485
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp36,4.83942,8.97196e-16,4.83942,4.83942,4.83942,4.83942,43.716,50.9831,4.92707,253.019,-7.26702,94.6991,0.0876483
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp37,4.93008,0,4.93008,4.93008,4.93008,4.93008,44.4401,51.5456,5.05244,245.11,-7.10545,95.9857,0.122357
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp38,4.84974,8.97196e-16,4.84974,4.84974,4.84974,4.84974,43.8102,51.0999,4.93676,253.59,-7.28967,94.91,0.0870246
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp39,4.91857,8.97196e-16,4.91857,4.91857,4.91857,4.91857,44.4447,51.6749,5.04395,245.339,-7.23019,96.1196,0.125386
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp4,4.73889,0,4.73889,4.73889,4.73889,4.73889,42.7791,49.7766,4.82787,247.544,-6.99757,92.5557,0.0889806
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp40,4.86035,8.97196e-16,4.86035,4.86035,4.86035,4.86035,43.9069,51.2216,4.9467,254.193,-7.31472,95.1284,0.0863558
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp41,4.90703,0,4.90703,4.90703,4.90703,4.90703,44.4527,51.8108,5.03534,245.575,-7.35806,96.2634,0.128305
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp42,4.8709,0,4.8709,4.8709,4.8709,4.8709,44.0036,51.3483,4.9566,254.828,-7.34475,95.3519,0.0857052
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp43,4.89861,8.97196e-16,4.89861,4.89861,4.89861,4.89861,44.4789,51.956,5.02934,245.818,-7.47707,96.4349,0.13074
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp44,4.88082,0,4.88082,4.88082,4.88082,4.88082,44.0961,51.4802,4.966,255.494,-7.38415,95.5763,0.0851801
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp45,4.89267,8.97196e-16,4.89267,4.89267,4.89267,4.89267,44.5204,52.1095,5.02539,246.067,-7.58912,96.63,0.132722
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp46,4.88932,0,4.88932,4.88932,4.88932,4.88932,44.1786,51.6174,4.97425,256.191,-7.43882,95.796,0.0849246
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp47,4.88844,8.97196e-16,4.88844,4.88844,4.88844,4.88844,44.5732,52.27,5.02274,246.322,-7.69673,96.8432,0.134304
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp48,4.89588,8.97196e-16,4.89588,4.89588,4.89588,4.89588,44.2472,51.7599,4.98092,256.916,-7.51277,96.0071,0.0850407
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp49,4.88537,8.97196e-16,4.88537,4.88537,4.88537,4.88537,44.6344,52.4359,5.02088,246.581,-7.80144,97.0703,0.13551
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp5,4.79622,8.97196e-16,4.79622,4.79622,4.79622,4.79622,43.2567,49.9857,4.90647,242.54,-6.72902,93.2424,0.110248
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp50,4.90105,8.97196e-16,4.90105,4.90105,4.90105,4.90105,44.3056,51.9071,4.98649,257.668,-7.60145,96.2127,0.0854335
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp51,4.8831,8.97196e-16,4.8831,4.8831,4.8831,4.8831,44.7017,52.6057,5.01945,246.842,-7.90393,97.3074,0.136356
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp52,4.90567,8.97196e-16,4.90567,4.90567,4.90567,4.90567,44.3594,52.0578,4.99164,258.444,-7.69839,96.4172,0.0859681
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp53,4.88138,0,4.88138,4.88138,4.88138,4.88138,44.7731,52.7774,5.01824,247.104,-8.00428,97.5505,0.136858
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp54,4.91034,8.97196e-16,4.91034,4.91034,4.91034,4.91034,44.4126,52.2112,4.99689,259.242,-7.7986,96.6238,0.0865477
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp55,4.88003,8.97196e-16,4.88003,4.88003,4.88003,4.88003,44.8464,52.9484,5.01706,247.365,-8.10202,97.7948,0.137034
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp56,4.91542,8.97196e-16,4.91542,4.91542,4.91542,4.91542,44.4675,52.3663,5.00254,260.056,-7.89886,96.8338,0.0871203
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp57,4.87888,8.97196e-16,4.87888,4.87888,4.87888,4.87888,44.9191,53.1152,5.0158,247.624,-8.19615,98.0343,0.136916
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp58,4.92108,0,4.92108,4.92108,4.92108,4.92108,44.5248,52.5221,5.00875,260.881,-7.99723,97.0469,0.0876638
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp59,4.87782,8.97196e-16,4.87782,4.87782,4.87782,4.87782,44.988,53.2733,5.01437,247.877,-8.2852,98.2613,0.136553
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp6,4.74202,8.97196e-16,4.74202,4.74202,4.74202,4.74202,42.8087,49.8165,4.83111,247.721,-7.00781,92.6252,0.0890826
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp60,4.92737,0,4.92737,4.92737,4.92737,4.92737,44.5848,52.6773,5.01554,261.711,-8.09251,97.2622,0.0881711
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp61,4.87669,8.97196e-16,4.87669,4.87669,4.87669,4.87669,45.0499,53.4172,5.0127,248.123,-8.36727,98.4671,0.136004
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp62,4.93418,0,4.93418,4.93418,4.93418,4.93418,44.6468,52.8308,5.02282,262.538,-8.18401,97.4776,0.0886387
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp63,4.8754,0,4.8754,4.8754,4.8754,4.8754,45.1011,53.5414,5.01073,248.359,-8.44028,98.6425,0.13533
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp64,4.94127,8.97196e-16,4.94127,4.94127,4.94127,4.94127,44.7095,52.9809,5.03033,263.353,-8.27146,97.6904,0.0890552
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp65,4.87383,8.97196e-16,4.87383,4.87383,4.87383,4.87383,45.1387,53.6412,5.00842,248.582,-8.50251,98.78,0.13459
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp66,4.94813,0,4.94813,4.94813,4.94813,4.94813,44.7708,53.126,5.03752,264.145,-8.35523,97.8969,0.0893884
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp67,4.87197,8.97196e-16,4.87197,4.87197,4.87197,4.87197,45.1615,53.7147,5.0058,248.792,-8.55317,98.8763,0.133832
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp68,4.9539,8.97196e-16,4.9539,4.9539,4.9539,4.9539,44.8277,53.2643,5.04347,264.902,-8.43654,98.092,0.0895719
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp69,4.86984,8.97196e-16,4.86984,4.86984,4.86984,4.86984,45.1705,53.7633,5.00293,248.986,-8.5928,98.9339,0.133088
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp7,4.79935,8.97196e-16,4.79935,4.79935,4.79935,4.79935,43.2877,50.0335,4.91031,242.629,-6.74586,93.3212,0.110967
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp70,4.95744,8.97196e-16,4.95744,4.95744,4.95744,4.95744,44.8762,53.3936,5.04695,265.614,-8.51732,98.2698,0.0895095
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp71,4.86753,8.97196e-16,4.86753,4.86753,4.86753,4.86753,45.1683,53.7912,4.99991,249.164,-8.62294,98.9594,0.132377
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp72,4.95797,8.97196e-16,4.95797,4.95797,4.95797,4.95797,44.9134,53.5121,5.04711,266.267,-8.59866,98.4255,0.0891381
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp73,4.86515,8.97196e-16,4.86515,4.86515,4.86515,4.86515,45.158,53.8035,4.99686,249.326,-8.64549,98.9615,0.131709
