obsnme,obsval,weight,obsgp
h_p1_cp153,79.77502711842223,1.0,head
h_p1_cp154,78.74183949993552,1.0,head
h_p1_cp155,79.74741250989192,1.0,head
h_p2_cp0,254.55521543412414,1.0,head
h_p2_cp1,251.3331111155332,1.0,head
h_p2_cp2,254.54797087865416,1.0,head
h_p2_cp3,251.32409750523314,1.0,head
h_p2_cp4,254.53760150290626,1.0,head
h_p2_cp5,251.31296121712802,1.0,head
h_p2_cp6,254.5233966410206,1.0,head
h_p2_cp7,251.29973166138114,1.0,head
h_p2_cp8,254.5048206747062,1.0,head
h_p2_cp9,251.28437151190946,1.0,head
h_p2_cp10,254.48159153230446,1.0,head
h_p2_cp11,251.26684783808017,1.0,head
h_p2_cp12,254.4537435613868,1.0,head
h_p2_cp13,251.24724387374647,1.0,head
h_p2_cp14,254.42166784411245,1.0,head
h_p2_cp15,251.22582440632232,1.0,head
h_p2_cp16,254.38613175081656,1.0,head
h_p2_cp17,251.2030309616739,1.0,head
h_p2_cp18,254.3482783302403,1.0,head
h_p2_cp19,251.1794364914942,1.0,head
h_p2_cp20,254.30956444199668,1.0,head
h_p2_cp21,251.15569142826797,1.0,head
h_p2_cp22,254.2717066900147,1.0,head
h_p2_cp23,251.13247983677167,1.0,head
h_p2_cp24,254.2366331008421,1.0,head
h_p2_cp25,251.11049852544505,1.0,head
h_p2_cp26,254.2064432288405,1.0,head
h_p2_cp27,251.09045937388515,1.0,head
h_p2_cp28,254.1833475034802,1.0,head
h_p2_cp29,251.0730947933506,1.0,head
h_p2_cp30,254.1695822557819,1.0,head
h_p2_cp31,251.05914974105212,1.0,head
h_p2_cp32,254.16720103542394,1.0,head
h_p2_cp33,251.04935117170265,1.0,head
h_p2_cp34,254.17827139472763,1.0,head
h_p2_cp35,251.0443633690279,1.0,head
h_p2_cp36,254.20472637304005,1.0,head
h_p2_cp37,251.04475977222535,1.0,head
h_p2_cp38,254.24834694646205,1.0,head
h_p2_cp39,251.05101219458442,1.0,head
h_p2_cp40,254.3106905328973,1.0,head
h_p2_cp41,251.0634708601494,1.0,head
h_p2_cp42,254.39306711192563,1.0,head
h_p2_cp43,251.08230852528214,1.0,head
h_p2_cp44,254.49660222519907,1.0,head
h_p2_cp45,251.1074789545813,1.0,head
h_p2_cp46,254.62229235819711,1.0,head
h_p2_cp47,251.13870241099625,1.0,head
h_p2_cp48,254.77123598407647,1.0,head
h_p2_cp49,251.1754551649629,1.0,head
h_p2_cp50,254.94508760629105,1.0,head
h_p2_cp51,251.21694143964464,1.0,head
h_p2_cp52,255.14559065225916,1.0,head
h_p2_cp53,251.26205881273154,1.0,head
h_p2_cp54,255.37426525715625,1.0,head
h_p2_cp55,251.30943556821393,1.0,head
h_p2_cp56,255.63214489467202,1.0,head
h_p2_cp57,251.35742379907077,1.0,head
h_p2_cp58,255.91930063253037,1.0,head
h_p2_cp59,251.4041730066381,1.0,head
h_p2_cp60,256.23387811399965,1.0,head
h_p2_cp61,251.44772391264326,1.0,head
h_p2_cp62,256.57026347668295,1.0,head
h_p2_cp63,251.4861806755918,1.0,head
h_p2_cp64,256.9158562421072,1.0,head
h_p2_cp65,251.51794625706287,1.0,head
h_p2_cp66,257.2461807586034,1.0,head
h_p2_cp67,251.54202475643086,1.0,head
h_p2_cp68,257.52002080943555,1.0,head
h_p2_cp69,251.5582163094031,1.0,head
h_p2_cp70,257.6826250903344,1.0,head
h_p2_cp71,251.56703976858273,1.0,head
h_p2_cp72,257.69583116065627,1.0,head
h_p2_cp73,251.5695313030633,1.0,head
h_p2_cp74,257.59852828551755,1.0,head
h_p2_cp75,251.567043944567,1.0,head
h_p2_cp76,257.44590591795657,1.0,head
h_p2_cp77,251.5610894118538,1.0,head
h_p2_cp78,257.2792906015779,1.0,head
h_p2_cp79,251.55319175383005,1.0,head
h_p2_cp80,254.70110932312238,1.0,head
h_p2_cp81,257.46009130362825,1.0,head
h_p2_cp82,254.8726074519389,1.0,head
h_p2_cp83,257.62904580534735,1.0,head
h_p2_cp84,255.0699082057561,1.0,head
h_p2_cp85,257.7446994985726,1.0,head
h_p2_cp86,255.29312087857127,1.0,head
h_p2_cp87,257.7518337706046,1.0,head
h_p2_cp88,255.54222658463436,1.0,head
h_p2_cp89,257.6116791111532,1.0,head
