SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
14,4.555204035848951e-10,7.487808297275066e-09,0.056311831049808636,1.1149201132690256e-09,2.5371126634014064e-10,2.0105875630168705e-11,1.0386222020878445e-08,2.1242518008977992e-09,3.1498819984372446e-09,1.966196067938265e-09,6.798812728455124e-09,2.790604901875543e-08,5.494136925024882e-09,15.78442657866803,3.773419061583419e-11
15,3.259866368752249e-08,3.227351396377256e-09,0.03623970607700522,1.187143556656777e-09,6.633295513421016e-09,4.439913017875913e-11,3.202131695122594e-09,2.1335940413944413e-09,1.8362137292819697e-09,3.44012549057005e-09,1.5007021999203283e-09,3.91568565899726e-08,2.4023725742485774e-09,32.208899854730035,1.586014985088726e-09
16,3.461110389884616e-09,5.508382141408876e-09,0.01188868775821214,9.374855793415146e-10,4.0668346024664106e-10,1.945448862385344e-11,7.827207524269419e-09,2.7131612949251007e-09,1.908397070766377e-09,4.23911417911751e-09,3.877539496605913e-09,3.3763819101690265e-08,4.136930438035164e-09,157.58560336968827,8.77880497122053e-10
17,3.052517619496223e-08,4.538676230970454e-09,0.014550917411413566,7.38480542771788e-10,6.346203595918639e-09,7.360931431669222e-11,1.0637142941078595e-08,4.164400703984996e-09,3.2883880669828764e-10,3.3723608496285152e-09,3.6294104049680574e-09,3.8499057657332297e-08,3.0147501751347e-09,380.6103391840919,9.645013752181773e-10
18,2.394073956816214e-08,8.982989882499548e-09,0.005791518328053524,1.640497954037094e-09,6.77117078361867e-09,4.474676578511831e-11,1.1830786181894303e-08,7.41847677806374e-10,2.6206689640835774e-09,4.395021431815971e-09,7.000029010903957e-09,3.282629819948751e-08,1.2567609328343132e-09,0.11230829085610704,2.0906997268439834e-09
19,1.7878455365378414e-08,5.189155663509615e-09,0.0004952419801717012,2.699394062270411e-10,2.8507441042038474e-09,2.28531961743922e-11,7.357391736513193e-09,4.208794057960799e-09,3.0999254868660286e-09,5.531933103037953e-09,3.483070369899971e-09,1.7835328920836092e-08,2.574006676786183e-09,112.429428266791,8.455504875160748e-10
20,1.8434560668226103e-08,1.4827035653015788e-09,0.000762185821267955,4.295673116216235e-10,1.6248392673994221e-09,7.761382026150918e-12,1.132478480599665e-08,7.26270096261062e-10,2.7834966741415105e-09,2.5438431126096413e-10,5.851558769292002e-09,7.794024141470256e-09,4.216637195334583e-09,0.0682075983121577,1.7824398025243437e-09
21,5.411804570212018e-10,2.560023294228192e-09,0.0014078647889873147,1.4476575207697268e-09,1.910081469645436e-09,2.74357089652448e-11,7.331017371294864e-09,4.091908276009992e-09,1.5592823378809247e-09,5.6077263998143394e-09,4.760830089890912e-10,2.00706041926116e-08,3.008295770411122e-09,0.053680972742380276,1.874000145268593e-09
22,9.259238723307275e-09,6.744902856040627e-09,0.0006178827633342571,1.007001853851014e-09,4.041166875235567e-09,5.859668107688812e-11,2.6009943463642023e-09,4.07392327633841e-09,8.101416381333413e-10,4.663760096074048e-09,4.6962689893941425e-09,1.9053234604818298e-08,3.9110802398461274e-10,0.10993323270810065,1.6613936897323118e-09
23,2.3787683826354745e-08,5.528973704261578e-10,0.0007893492613070263,1.2527293068261586e-10,4.860640958401578e-09,6.281422060260469e-11,9.177513227079274e-09,1.136509025977294e-09,3.3721226151134514e-09,5.632618062784993e-09,5.36772882284001e-09,1.2697043766592208e-08,4.8250312740541204e-09,1.5237119893101458,5.585034442145135e-10
24,1.1775199919941009e-09,4.433399159357009e-09,0.00047193405070805605,5.096149246413868e-10,2.865843811405663e-09,4.132196717337734e-11,6.10945726741903e-09,1.1223511975969356e-09,3.1784980734299847e-09,6.204068510031971e-09,4.3326633231442456e-09,1.1060240553970948e-08,2.1362338650601227e-09,0.6378196881748608,2.0981036633572935e-09
