SP,SIReN_r81_c42,SIReN_r66_c34,SIReN_r35_c60,SIReN_r77_c56,SIReN_r58_c51,SIReN_r45_c36,SIReN_r70_c35,SIReN_r37_c40,SIReN_r39_c54,SIReN_r74_c58,SIReN_r54_c37,SIReN_r49_c31,SIReN_r71_c61,SIReN_r67_c31,SIReN_r59_c44,SIReN_r72_c42,SIReN_r68_c53,SIReN_r73_c62,SIReN_r58_c37,SIReN_r35_c36
40,9.053409518412233e-12,1.2805578939575273e-16,74.14060015588261,312.50778025831164,600859.1569791529,14139.495387831883,10.098379835396898,226079.80592964264,1968.371753197302,34.84035385567057,241594.99997397893,6.135826055014123e-32,0.008390928344850222,1.33e-321,260766.88144037215,971728.4972386262,158238.70170840438,432.160071093287,63847.45653229499,167.09838229835788
41,1.305627239036297e-07,1.4406304692924765e-10,62.598186996906165,1683.3417340096025,2569377.3468908677,21727.27959921287,29.37513426812178,372138.97770420247,33859.985956386445,22.723171607264,270612.7334326048,2.2857877307692478e-27,2.3681178899322926e-19,2.984126015231056e-264,867936.9395070409,951347.1945389517,120136.14780890313,380.73848508192816,117464.41235016253,139.0742231877511
42,0.00017210255414208117,5.008397418303389e-06,50.918528440837456,2754.651152198833,2980373.200847105,30406.61764981501,52.77621551921348,558823.1831366278,80975.20201607673,26.743107384424825,301974.35294012335,1.9280849192007563e-22,9.745294795265948e-22,2.584646754270728e-184,1237427.4789775359,311330.02866544685,401538.1306914079,325.5216039115492,193215.23327833164,150.3752647270813
43,0.026616909718978156,0.009581180737902165,39.5034732804309,3251.6194170225754,1229090.3946247182,40165.28572204181,57.63254920493592,787262.3643676747,142324.85777593043,33.816796617016884,339300.183146042,1.1906620219444968e-17,2.698540081736913e-22,7.484157268222232e-126,5079628.664711282,294362.32602769823,607565.1207606476,268.1224250112294,292815.40965707425,169.11721337173375
44,0.6815423615828242,1.615041977477583,28.860042418877192,3026.456416669835,2015438.5534375561,51575.333248907824,10.393637822741473,1067820.5344168954,221532.0811903962,42.12291090220954,387203.47913407005,9.153699879803546e-14,6.26357845911905e-21,2.3506872310392668e-82,2090921.7701911726,545512.3087490767,700623.8962596486,210.79709962784028,419525.0209679636,164.57354810313072
45,5.0464656784972295,40.459306132333026,19.537980929392834,1811.6906520781554,5302025.763587193,66837.69641870956,263.27112051880135,1427901.7519432944,329782.8372719332,50.604085951131886,453915.685927889,7.76700474462931e-09,6.600943348492127e-18,1.100710951965805e-50,6452581.224686091,2308958.1258931626,702483.5271803965,156.23092740023708,579720.3809801064,64.7704886833753
46,22.369757477338577,265.44256324237676,12.026926293077645,1024.3964291871214,6824453.745954673,92171.79507395315,881.2039961897306,1926867.1998265544,494144.4552433056,59.20438981230635,551606.4209304733,1.687098109666309e-05,7.029129316439188e-14,9.198600010868971e-29,1148315.0604484398,3106706.994665799,691518.0438721887,107.23091421321186,788266.7597833831,370.2045137471511
47,89.43926965383653,787.1538160554965,6.6589645657981835,6889.387561589727,4659992.9705811525,144746.666721111,2302.907530098053,2693442.660604324,787553.622977456,69.11530383745897,689844.1227314629,0.0032955114643718423,7.64021522233526e-10,6.9702669508587825e-15,127339869929616.42,26475177.508934896,805723.796876837,66.32333794011174,1072661.4881586146,1811.432331636141
48,342.1986651689018,1707.0368345915895,3.521592522675324,19682.14013193915,2268988.467237826,277933.8946097593,6000.493014627592,4038803.9262489495,1444937.41232818,84.45499627406151,862962.7911825755,0.09115581773587327,1.7194080841774486e-06,9.045163861111303e-09,90659568195155.8,81711909071944.58,1348449.474607265,35.3108111533956,1481780.2752991172,6193.774429816882
49,1398.5041466819275,4003.239306487789,2.548578309042509,54460.425885809134,2581369.057844357,706717.1059179826,18414.959706767873,6809130.875515249,3462987.9914614907,119.93677612223607,1060354.8326117257,0.623427801035563,0.00026904134354400073,0.0021972035532853568,81207082306129.98,20869357867823.477,3397345.6194446026,14.844097112529692,2156637.227840587,21119.023563643994
50,7680.331425050695,13755.512453236432,4.755258202047256,204933.2173025177,87982.72016843798,2804871.2301509767,85061.76382016309,12691438.767566493,13523092.420637408,245.79832407915328,1611659.3869156274,2.021580875644179,0.010012056471458032,0.07434750789615056,5e-324,5.5482344362475846e-241,40924734.16369943,4.07194916539114,3519085.7989010746,94074.18258683877
51,92232.19127639513,106131.08095135188,26.205424436116203,1887001.0586972204,500204255148498.4,1035936634227.0596,966813.704872429,647413.518480185,452325781.8733603,1198.9896952423533,55947300.27498057,6.978731712610551,0.1692168702112065,1.43539098200826,500205648785329.56,500205648785276.2,93873670.77076645,0.44371575601818686,8186815.645267924,861217.0398128896
