SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
30,0.0012850687133440513,0.010488194751810178,0.023269864451628663,0.023002752382096547,0.019344765013295035,3.161274864287995,0.6319547631824002,0.08341747076494817,0.42574959089764397,0.626331931647449,0.26687476703120566,0.020659044740161052,0.11734728889677092,0.06929057363891218,0.04558743080217362,0.0379942421788532,0.0825707238221715,0.05987335000996631,0.08423730169572605,0.03572880926094914,0.010624685796094142,0.05463291950071555,0.13583438262617897,1.7849628901545205,0.5977927646919327
31,0.03758829667871326,0.002028850167851678,0.08608374868422201,0.01607166159747425,0.012556606832056727,0.06426168226394129,0.8914032458394571,0.02471544761733291,0.322809717713894,0.03931055902626114,0.2434227273134345,0.039691954431527225,0.2270556933293918,0.03508289302078296,0.06051356534432674,0.05163255469577461,0.02353631142776834,0.0034935513242321803,0.057454520157766704,0.049113703694526466,0.014668644327553706,0.04626990121455444,0.04777320034120782,0.599026476298705,0.8556615076493805
32,0.0008243914660643706,0.0035349815389017405,0.07401712504314673,0.04885558203138127,0.059744512019409314,4.484397217009708,0.014335568288747382,0.08752056763623428,0.3170537061263964,0.2151660114528771,0.24817875644619491,0.02202829974369379,0.2561300603639655,0.057351911352283784,0.044406918505834655,0.02026929480610594,0.015457526579139886,0.05755556985229554,0.07280792541207429,0.07062680236938974,0.016859686945554033,0.03320136078500867,0.05874982601812115,1.4355706221779918,1.5169723849229129
33,0.02128546939368738,0.0035006283160656957,0.06140698943842175,0.011051231028480345,0.012256424088027323,1.5140583787408062,1.2823882361993475,0.05991456086774327,0.3072240020129295,0.11556293033301208,0.11368365712367366,0.017944566202356394,0.17010476852776604,0.06951155476305075,0.02592180447351923,0.0569170422210863,0.015256677956454396,0.055314538674229495,0.03777771287380242,0.05087364002831093,0.0011358349674862947,0.001673154630583671,0.08423811325687512,1.4378182305884808,1.6840214089008547
34,0.010448998089456025,0.007848488599156815,0.04368394308250303,0.04390603140621338,0.053751388959104675,2.778554530279102,0.8427497051368982,0.007157111612524266,0.29003929520174915,0.31825024680393993,0.14125616830261076,0.04474718722795414,0.24892786455238552,0.06504650579752588,0.037656567711134556,0.006526515766744847,0.010686261570728432,0.017976975292565058,0.09982827685236552,0.024548715411167127,0.014117871010033367,0.000207878886762738,0.08957906606346214,1.5663092412105712,1.079812875443295
35,0.03845952903179548,0.0003024750388620443,0.050560808142523436,0.001660133258811569,0.017884206674290432,1.5128521306842664,0.8209975195047629,0.08411631961988082,0.2634465529025508,0.45733675590333095,0.1304449518563974,0.03496507675114508,0.17238266266358768,0.024388450649912078,0.06624947019377496,0.05194524952215884,0.057072152303855754,0.020016831479769574,0.18623719662261679,0.0047392930467338125,0.014378045315254462,0.01612448128447715,0.07950334348454328,0.6942726225018597,1.5396755468425565
36,0.02652076522142218,0.009452343533171715,0.04676040237331538,0.008544698633015758,0.002921969769792078,4.2535185934588835,1.2629436685792645,0.028652736359129162,0.03788405447230907,0.24411735121406133,0.05638191005455866,0.03723126225592923,0.2254740044837187,0.031150595543975288,0.046187062640495546,0.016617494931058564,0.04460530548508874,0.04379501144954038,0.005248025988281814,0.03190994836816362,0.010208303553899425,0.002589085628993802,0.04622829589677989,0.6119183334807,0.9248081921062985
37,0.010091061034424729,0.0027315582766351387,0.07715325574361954,0.03359926656642881,0.01377262589732698,0.20231543230813587,0.0994392602084742,0.010867221898757787,0.08420772370491283,0.4088050289781871,0.1265594813363344,0.02984450345309325,0.12069737690413623,0.032938435916945945,0.07608547412759979,0.07018502249050264,0.015828206800017727,0.029003400401322696,0.1034235714257965,0.024172994518324258,0.0022925324071617153,0.032473629279101204,0.04316553908120914,0.38606408828358435,0.8579737725889679
38,0.0227770045358928,0.004837095853538695,0.02723562240760764,0.034904182139719075,0.002746895557189912,2.7653166006989234,1.1447394864346205,0.10690028732326606,0.17120917325366203,0.3518041900114212,0.04756104727373103,0.024598367865277644,0.08024383114393187,0.023893810914596653,0.01024095856693055,0.0636511342921664,0.011966711712219743,0.015916895142462497,0.22018717064639193,0.08417969573710399,0.007767337644713674,0.004937764823904807,0.02685045032690426,1.355933517765975,1.2240224944985492
39,0.018444525136618272,0.010007134722242397,0.075615970196118,0.013905672552860623,0.03940166586462422,1.232903703873427,0.15521014006020714,0.06830036213342444,0.07623790510352156,0.22438291712261768,0.10411983774622453,0.020396055616313566,0.02359424440106917,0.05834767203738436,0.015061482239485923,0.04592592286992218,0.0456465561155753,0.03470659157126437,0.19905890266865287,0.1847756613602699,0.007244050135019932,0.030173238827802467,0.019329569904734868,0.7639316218721329,1.2328287970452025
