obsnme,obsval
h_p2_cp57,2.2146195988170803e-10
h_p2_cp58,6.849540477560367e-05
h_p2_cp59,6.461959856096655e-10
h_p2_cp60,0.0002520725875001517
h_p2_cp61,1.495209289714694e-09
h_p2_cp62,0.0008540087219444104
h_p2_cp63,1.3587850844487548e-09
h_p2_cp64,0.002373569474912074
h_p2_cp65,5.979927664157003e-10
h_p2_cp66,0.0050016791765301605
h_p2_cp67,4.0245140553452075e-10
h_p2_cp68,0.006976069927304707
h_p2_cp69,1.0279563866788521e-09
h_p2_cp70,0.005001676109031905
h_p2_cp71,8.280949259642512e-10
h_p2_cp72,0.002373544170950481
h_p2_cp73,5.206857167650014e-11
h_p2_cp74,0.0008538461850093881
h_p2_cp75,-1.4620127330999821e-10
h_p2_cp76,0.0002511059897187806
h_p2_cp77,4.795310815097764e-10
h_p2_cp78,6.324281434899603e-05
h_p2_cp79,2.7989699447061867e-10
h_p2_cp80,1.4068960126678576e-05
h_p2_cp81,-4.965841071680188e-10
h_p2_cp82,2.8251636194909224e-06
h_p2_cp83,-6.964455678826198e-10
h_p2_cp84,1.5231683846650412e-05
h_p2_cp85,1.2202116749904235e-05
h_p2_cp86,6.846433052487555e-05
h_p2_cp87,4.645182707463391e-05
h_p2_cp88,0.0002718367059060256
h_p2_cp89,0.00015116301278794708
h_p2_cp90,0.0009243382305612613
h_p2_cp91,0.0004017744756765751
h_p2_cp92,0.002569499797118624
h_p2_cp93,0.0008112670957416412
h_p2_cp94,0.00541461344300842
h_p2_cp95,0.001098759531032556
h_p2_cp96,0.007552058367764403
h_p2_cp97,0.0008113427793432493
h_p2_cp98,0.005414843897597166
h_p2_cp99,0.00040218406661551853
h_p2_cp100,0.002570235851180769
h_p2_cp101,0.00015309266768781526
h_p2_cp102,0.0009261375475944078
h_p2_cp103,5.439566393761197e-05
h_p2_cp104,0.00027518419756233925
h_p2_cp105,4.013907141597883e-05
h_p2_cp106,7.27660885786463e-05
h_p2_cp107,8.593041957283276e-05
h_p2_cp108,1.857932784332661e-05
h_p2_cp109,0.0002215839840573608
h_p2_cp110,4.859992714045802e-06
h_p2_cp111,0.0006267919950460055
h_p2_cp112,1.3045137166045606e-06
h_p2_cp113,0.002014190723457432
h_p2_cp114,3.454651960055344e-07
h_p2_cp115,0.005631942399304535
h_p2_cp116,8.715460353414528e-08
h_p2_cp117,0.011965623158403105
h_p2_cp118,2.0883817342109978e-08
h_p2_cp119,0.016713183589672553
h_p2_cp120,5.2473296818789095e-09
h_p2_cp121,0.011963946001287695
h_p2_cp122,3.0436240194831043e-09
h_p2_cp123,0.005625084497523858
h_p2_cp124,1.1338670447003096e-08
h_p2_cp125,0.0019922351284549222
