name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp147,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,5728.4,1709.72,111.775,11929.2,4018.68,7438.12,111.775
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp148,0.000521119,4.34551e-19,0.000521119,0.000521119,0.000521119,0.000521119,6203.04,1820.84,122.238,12799,4382.2,8023.88,122.237
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp149,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,6701.63,1935.25,133.416,13701,4766.38,8636.88,133.416
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp15,-2.3083e-09,0,-2.3083e-09,-2.3083e-09,-2.3083e-09,-2.3083e-09,31.919,30.4427,0.00368761,158.795,1.47631,62.3618,0.00368761
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp150,0.00014407,2.44435e-19,0.00014407,0.00014407,0.00014407,0.00014407,7224.81,2052.91,145.369,14635.7,5171.9,9277.72,145.369
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp151,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,7773.07,2173.78,158.144,15603.6,5599.28,9946.85,158.144
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp152,2.98865e-05,0,2.98865e-05,2.98865e-05,2.98865e-05,2.98865e-05,8346.64,2297.85,171.774,16604.9,6048.79,10644.5,171.774
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp153,-1.97724e-09,0,-1.97724e-09,-1.97724e-09,-1.97724e-09,-1.97724e-09,8945.55,2425.07,186.279,17639.5,6520.48,11370.6,186.279
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp154,5.1265e-06,0,5.1265e-06,5.1265e-06,5.1265e-06,5.1265e-06,9569.67,2555.44,201.665,18707.3,7014.23,12125.1,201.665
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp155,-1.97383e-09,0,-1.97383e-09,-1.97383e-09,-1.97383e-09,-1.97383e-09,10218.7,2688.92,217.931,19807.4,7529.8,12907.6,217.931
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp156,7.67764e-07,0,7.67764e-07,7.67764e-07,7.67764e-07,7.67764e-07,9.52135e-132,2.23719e-131,1.14895e-135,1.06562e-130,-1.28506e-131,3.18933e-131,7.67764e-07
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp157,-1.94609e-09,0,-1.94609e-09,-1.94609e-09,-1.94609e-09,-1.94609e-09,1.57767e-65,3.70699e-65,1.90379e-69,1.76571e-64,-2.12932e-65,5.28467e-65,1.94609e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp158,1.05008e-07,0,1.05008e-07,1.05008e-07,1.05008e-07,1.05008e-07,2.21791e-43,5.21134e-43,2.67637e-47,2.48226e-42,-2.99343e-43,7.42925e-43,1.05008e-07
